model_name,checkpoint,evaluation_group,form_type,language_pair,auc_roc,triplet_accuracy,valid_pairs
BertAll_Exp_MLM_Translation (ep10),55500,E2EN-Alignment,Seen,Hieroglyphic-English,0.6905153350168937,0.6923411662315057,6894
BertAll_Exp_MLM_Translation (ep10),55500,E2EN-Alignment,Unseen,Hieroglyphic-English,0.6352492130565928,0.634414513468939,1819
BertAll_Exp_MLM_Translation (ep10),55500,E2EN-Alignment,Seen,Demotic-English,0.6722016962849752,0.6674144699943915,1783
BertAll_Exp_MLM_Translation (ep10),55500,E2EN-Alignment,Unseen,Demotic-English,0.6356045624338308,0.6274944567627494,451
BertAll_Exp_MLM_Translation (ep10),55500,E2EN-Alignment,Seen,Sahidic-English,0.5914692037739953,0.5913705583756346,1970
BertAll_Exp_MLM_Translation (ep10),55500,E2EN-Alignment,Unseen,Sahidic-English,0.5389628804375348,0.56575682382134,403
BertAll_Exp_MLM_Translation (ep10),55500,E2EN-Alignment,Seen,Bohairic-English,0.58098335350826,0.5689764780673872,1573
BertAll_Exp_MLM_Translation (ep10),55500,E2EN-Alignment,Unseen,Bohairic-English,0.5409049190087565,0.5494505494505495,364
BertAll_Exp_MLM_TLM_Translation (ep10),55500,Cross-Branches,Heterograph,Bohairic-Demotic,0.6591824175824176,0.6681318681318681,455
BertAll_Exp_MLM_TLM_Translation (ep10),55500,Cross-Branches,Heterograph,Bohairic-Hieroglyphic,0.6353600518462876,0.6284153005464481,366
BertAll_Exp_MLM_TLM_Translation (ep10),55500,Cross-Branches,Heterograph,Demotic-Sahidic,0.5691000665866968,0.5735461801596351,877
BertAll_Exp_MLM_TLM_Translation (ep10),55500,Cross-Branches,Heterograph,Hieroglyphic-Sahidic,0.5744587655691635,0.5783783783783784,740
BertAll_Exp_MLM_TLM_Translation (ep10),55500,Within-Branches,Heterograph,Bohairic-Sahidic,0.7566325848703557,0.75,348
BertAll_Exp_MLM_TLM_Translation (ep10),55500,Within-Branches,Heterograph,Demotic-Hieroglyphic,0.5966440538595951,0.5978260869565217,368
BertAll_Exp_MLM_TLM_Translation (ep10),55500,Within-Branches,Homograph,Bohairic-Sahidic,1.0,1.0,129
BertAll_Exp_MLM_TLM_Translation (ep10),55500,Within-Branches,Homograph,Demotic-Hieroglyphic,0.9979271194026336,0.9962546816479401,267
BertAll_Exp_MLM_TLM_Translation (ep10),55500,E2EN-Alignment,Seen,Hieroglyphic-English,0.6834721025040256,0.6853736551323059,6878
BertAll_Exp_MLM_TLM_Translation (ep10),55500,E2EN-Alignment,Unseen,Hieroglyphic-English,0.6037905547214653,0.6143719144267691,1823
BertAll_Exp_MLM_TLM_Translation (ep10),55500,E2EN-Alignment,Seen,Demotic-English,0.6739948503300247,0.6742794997281131,1839
BertAll_Exp_MLM_TLM_Translation (ep10),55500,E2EN-Alignment,Unseen,Demotic-English,0.624433304272014,0.6068548387096774,496
BertAll_Exp_MLM_TLM_Translation (ep10),55500,E2EN-Alignment,Seen,Sahidic-English,0.5830475241829315,0.5858942065491184,1985
BertAll_Exp_MLM_TLM_Translation (ep10),55500,E2EN-Alignment,Unseen,Sahidic-English,0.5531954887218045,0.5684210526315789,380
BertAll_Exp_MLM_TLM_Translation (ep10),55500,E2EN-Alignment,Seen,Bohairic-English,0.5625256259596332,0.5623043206011271,1597
BertAll_Exp_MLM_TLM_Translation (ep10),55500,E2EN-Alignment,Unseen,Bohairic-English,0.5465004855524043,0.5584045584045584,351
BertAll_Exp1_MLM_TLM_Translation_POS (ep10),55500,Cross-Branches,Heterograph,Bohairic-Demotic,0.6487692307692308,0.6417582417582418,455
BertAll_Exp1_MLM_TLM_Translation_POS (ep10),55500,Cross-Branches,Heterograph,Bohairic-Hieroglyphic,0.6275904732446643,0.6338797814207651,366
BertAll_Exp1_MLM_TLM_Translation_POS (ep10),55500,Cross-Branches,Heterograph,Demotic-Sahidic,0.567272329706685,0.5678449258836944,877
BertAll_Exp1_MLM_TLM_Translation_POS (ep10),55500,Cross-Branches,Heterograph,Hieroglyphic-Sahidic,0.581493078444298,0.5878378378378378,740
BertAll_Exp1_MLM_TLM_Translation_POS (ep10),55500,Within-Branches,Heterograph,Bohairic-Sahidic,0.7829290296712109,0.7787356321839081,348
BertAll_Exp1_MLM_TLM_Translation_POS (ep10),55500,Within-Branches,Heterograph,Demotic-Hieroglyphic,0.586359081097749,0.5706521739130435,368
BertAll_Exp1_MLM_TLM_Translation_POS (ep10),55500,Within-Branches,Homograph,Bohairic-Sahidic,0.9936291544150404,1.0,129
BertAll_Exp1_MLM_TLM_Translation_POS (ep10),55500,Within-Branches,Homograph,Demotic-Hieroglyphic,0.9938873577839022,0.9887640449438202,267
BertAll_Exp1_MLM_TLM_Translation_POS (ep10),55500,E2EN-Alignment,Seen,Hieroglyphic-English,0.5733537921516163,0.5803932909196067,6916
BertAll_Exp1_MLM_TLM_Translation_POS (ep10),55500,E2EN-Alignment,Unseen,Hieroglyphic-English,0.5247188891299963,0.5223633351739371,1811
BertAll_Exp1_MLM_TLM_Translation_POS (ep10),55500,E2EN-Alignment,Seen,Demotic-English,0.5780216581024828,0.5739514348785872,1812
BertAll_Exp1_MLM_TLM_Translation_POS (ep10),55500,E2EN-Alignment,Unseen,Demotic-English,0.5176130969679358,0.5204301075268817,465
BertAll_Exp1_MLM_TLM_Translation_POS (ep10),55500,E2EN-Alignment,Seen,Sahidic-English,0.4745171477130704,0.4829145728643216,1990
BertAll_Exp1_MLM_TLM_Translation_POS (ep10),55500,E2EN-Alignment,Unseen,Sahidic-English,0.4472618598890744,0.43271767810026385,379
BertAll_Exp1_MLM_TLM_Translation_POS (ep10),55500,E2EN-Alignment,Seen,Bohairic-English,0.46120090051094026,0.4566294919454771,1614
BertAll_Exp1_MLM_TLM_Translation_POS (ep10),55500,E2EN-Alignment,Unseen,Bohairic-English,0.4613322025865832,0.4530386740331492,362
BertAll_Exp_MLM_Fusion_Alpha_Latin_new (ep10),55500,Cross-Branches,Heterograph,Bohairic-Demotic,0.5705010989010989,0.5692307692307692,455
BertAll_Exp_MLM_Fusion_Alpha_Latin_new (ep10),55500,Cross-Branches,Heterograph,Bohairic-Hieroglyphic,0.5533007821130308,0.5683060109289617,366
BertAll_Exp_MLM_Fusion_Alpha_Latin_new (ep10),55500,Cross-Branches,Heterograph,Demotic-Sahidic,0.5158004425112204,0.5153933865450399,877
BertAll_Exp_MLM_Fusion_Alpha_Latin_new (ep10),55500,Cross-Branches,Heterograph,Hieroglyphic-Sahidic,0.5193430593623148,0.5121621621621621,740
BertAll_Exp_MLM_Fusion_Alpha_Latin_new (ep10),55500,Within-Branches,Heterograph,Bohairic-Sahidic,0.6012663726276397,0.5632183908045977,348
BertAll_Exp_MLM_Fusion_Alpha_Latin_new (ep10),55500,Within-Branches,Heterograph,Demotic-Hieroglyphic,0.5499922910884983,0.5407608695652174,368
BertAll_Exp_MLM_Fusion_Alpha_Latin_new (ep10),55500,Within-Branches,Homograph,Bohairic-Sahidic,0.9996435890581841,0.9922480620155039,129
BertAll_Exp_MLM_Fusion_Alpha_Latin_new (ep10),55500,Within-Branches,Homograph,Demotic-Hieroglyphic,0.9928862506772196,0.9962546816479401,267
BertAll_Exp_MLM_Fusion_Alpha_Latin_new (ep10),55500,E2EN-Alignment,Seen,Hieroglyphic-English,0.5245995299341688,0.523225241016652,6846
BertAll_Exp_MLM_Fusion_Alpha_Latin_new (ep10),55500,E2EN-Alignment,Unseen,Hieroglyphic-English,0.5622361125109219,0.556695464362851,1852
BertAll_Exp_MLM_Fusion_Alpha_Latin_new (ep10),55500,E2EN-Alignment,Seen,Demotic-English,0.5096925763948249,0.5107084019769358,1821
BertAll_Exp_MLM_Fusion_Alpha_Latin_new (ep10),55500,E2EN-Alignment,Unseen,Demotic-English,0.5640146640146639,0.564935064935065,462
BertAll_Exp_MLM_Fusion_Alpha_Latin_new (ep10),55500,E2EN-Alignment,Seen,Sahidic-English,0.4801571576358997,0.4778625954198473,1965
BertAll_Exp_MLM_Fusion_Alpha_Latin_new (ep10),55500,E2EN-Alignment,Unseen,Sahidic-English,0.541461380192404,0.5422343324250681,367
BertAll_Exp_MLM_Fusion_Alpha_Latin_new (ep10),55500,E2EN-Alignment,Seen,Bohairic-English,0.448091976516634,0.4563843236409608,1582
BertAll_Exp_MLM_Fusion_Alpha_Latin_new (ep10),55500,E2EN-Alignment,Unseen,Bohairic-English,0.5485327313769751,0.5404699738903395,383
BertAll_Exp_MLM_KL_Latin_latest (ep10),55500,Cross-Branches,Heterograph,Bohairic-Demotic,0.573687912087912,0.589010989010989,455
BertAll_Exp_MLM_KL_Latin_latest (ep10),55500,Cross-Branches,Heterograph,Bohairic-Hieroglyphic,0.5801113516857408,0.5901639344262295,366
BertAll_Exp_MLM_KL_Latin_latest (ep10),55500,Cross-Branches,Heterograph,Demotic-Sahidic,0.5555337992343148,0.5507411630558723,877
BertAll_Exp_MLM_KL_Latin_latest (ep10),55500,Cross-Branches,Heterograph,Hieroglyphic-Sahidic,0.545610276515283,0.5256756756756756,740
BertAll_Exp_MLM_KL_Latin_latest (ep10),55500,Within-Branches,Heterograph,Bohairic-Sahidic,0.6487002138465652,0.6408045977011494,348
BertAll_Exp_MLM_KL_Latin_latest (ep10),55500,Within-Branches,Heterograph,Demotic-Hieroglyphic,0.5559474252235583,0.5652173913043478,368
BertAll_Exp_MLM_KL_Latin_latest (ep10),55500,Within-Branches,Homograph,Bohairic-Sahidic,0.9604383854584335,0.9612403100775194,129
BertAll_Exp_MLM_KL_Latin_latest (ep10),55500,Within-Branches,Homograph,Demotic-Hieroglyphic,0.92479918969213,0.9438202247191011,267
BertAll_Exp_MLM_KL_Latin_latest (ep10),55500,E2EN-Alignment,Seen,Hieroglyphic-English,0.6879217909287616,0.6852120859965136,6884
BertAll_Exp_MLM_KL_Latin_latest (ep10),55500,E2EN-Alignment,Unseen,Hieroglyphic-English,0.569862065118371,0.5694760820045558,1756
BertAll_Exp_MLM_KL_Latin_latest (ep10),55500,E2EN-Alignment,Seen,Demotic-English,0.7434757075376516,0.7482014388489209,1807
BertAll_Exp_MLM_KL_Latin_latest (ep10),55500,E2EN-Alignment,Unseen,Demotic-English,0.6007425607425607,0.6080808080808081,495
BertAll_Exp_MLM_KL_Latin_latest (ep10),55500,E2EN-Alignment,Seen,Sahidic-English,0.7306299348995267,0.7287531806615776,1965
BertAll_Exp_MLM_KL_Latin_latest (ep10),55500,E2EN-Alignment,Unseen,Sahidic-English,0.4974277210884354,0.5182291666666666,384
BertAll_Exp_MLM_KL_Latin_latest (ep10),55500,E2EN-Alignment,Seen,Bohairic-English,0.7090027534503907,0.7006887914840325,1597
BertAll_Exp_MLM_KL_Latin_latest (ep10),55500,E2EN-Alignment,Unseen,Bohairic-English,0.5288778767681355,0.514792899408284,338
BertAll_Exp_MLM_Fusion_Alpha_IPA (ep10),55500,Cross-Branches,Heterograph,Bohairic-Demotic,0.5555648351648352,0.567032967032967,455
BertAll_Exp_MLM_Fusion_Alpha_IPA (ep10),55500,Cross-Branches,Heterograph,Bohairic-Hieroglyphic,0.5273518624895055,0.5327868852459017,366
BertAll_Exp_MLM_Fusion_Alpha_IPA (ep10),55500,Cross-Branches,Heterograph,Demotic-Sahidic,0.517058053963638,0.5131128848346637,877
BertAll_Exp_MLM_Fusion_Alpha_IPA (ep10),55500,Cross-Branches,Heterograph,Hieroglyphic-Sahidic,0.5373599208965063,0.5378378378378378,740
BertAll_Exp_MLM_Fusion_Alpha_IPA (ep10),55500,Within-Branches,Heterograph,Bohairic-Sahidic,0.6039093825180434,0.5948275862068966,348
BertAll_Exp_MLM_Fusion_Alpha_IPA (ep10),55500,Within-Branches,Heterograph,Demotic-Hieroglyphic,0.5481485764210094,0.5461956521739131,368
BertAll_Exp_MLM_Fusion_Alpha_IPA (ep10),55500,Within-Branches,Homograph,Bohairic-Sahidic,0.999821794529092,1.0,129
BertAll_Exp_MLM_Fusion_Alpha_IPA (ep10),55500,Within-Branches,Homograph,Demotic-Hieroglyphic,0.9985042282053096,0.9962546816479401,267
BertAll_Exp_MLM_Fusion_Alpha_IPA (ep10),55500,E2EN-Alignment,Seen,Hieroglyphic-English,0.5110930838613388,0.50464711007842,6886
BertAll_Exp_MLM_Fusion_Alpha_IPA (ep10),55500,E2EN-Alignment,Unseen,Hieroglyphic-English,0.5608063840771738,0.5594855305466238,1866
BertAll_Exp_MLM_Fusion_Alpha_IPA (ep10),55500,E2EN-Alignment,Seen,Demotic-English,0.5159323997830482,0.5288671023965141,1836
BertAll_Exp_MLM_Fusion_Alpha_IPA (ep10),55500,E2EN-Alignment,Unseen,Demotic-English,0.5987107797452624,0.6056034482758621,464
BertAll_Exp_MLM_Fusion_Alpha_IPA (ep10),55500,E2EN-Alignment,Seen,Sahidic-English,0.49228505423232743,0.49142280524722504,1982
BertAll_Exp_MLM_Fusion_Alpha_IPA (ep10),55500,E2EN-Alignment,Unseen,Sahidic-English,0.5842918985776129,0.5833333333333334,396
BertAll_Exp_MLM_Fusion_Alpha_IPA (ep10),55500,E2EN-Alignment,Seen,Bohairic-English,0.4543295772112401,0.4618272841051314,1598
BertAll_Exp_MLM_Fusion_Alpha_IPA (ep10),55500,E2EN-Alignment,Unseen,Bohairic-English,0.5475616265683986,0.5584045584045584,351
BertAll_Exp_MLM_KL_IPA (ep10),55500,Cross-Branches,Heterograph,Bohairic-Demotic,0.5815560439560439,0.5626373626373626,455
BertAll_Exp_MLM_KL_IPA (ep10),55500,Cross-Branches,Heterograph,Bohairic-Hieroglyphic,0.5917473082644751,0.6010928961748634,366
BertAll_Exp_MLM_KL_IPA (ep10),55500,Cross-Branches,Heterograph,Demotic-Sahidic,0.5551693636955493,0.5496009122006842,877
BertAll_Exp_MLM_KL_IPA (ep10),55500,Cross-Branches,Heterograph,Hieroglyphic-Sahidic,0.5458028310724075,0.5391891891891892,740
BertAll_Exp_MLM_KL_IPA (ep10),55500,Within-Branches,Heterograph,Bohairic-Sahidic,0.6382584870355521,0.6494252873563219,348
BertAll_Exp_MLM_KL_IPA (ep10),55500,Within-Branches,Heterograph,Demotic-Hieroglyphic,0.5533006989413095,0.5543478260869565,368
BertAll_Exp_MLM_KL_IPA (ep10),55500,Within-Branches,Homograph,Bohairic-Sahidic,0.962844159315691,0.9534883720930233,129
BertAll_Exp_MLM_KL_IPA (ep10),55500,Within-Branches,Homograph,Demotic-Hieroglyphic,0.9212305373000732,0.9288389513108615,267
BertAll_Exp_MLM_KL_IPA (ep10),55500,E2EN-Alignment,Seen,Hieroglyphic-English,0.6879945410822409,0.6874177992108724,6843
BertAll_Exp_MLM_KL_IPA (ep10),55500,E2EN-Alignment,Unseen,Hieroglyphic-English,0.5858646519726005,0.5931453841901603,1809
BertAll_Exp_MLM_KL_IPA (ep10),55500,E2EN-Alignment,Seen,Demotic-English,0.7259383338260901,0.7081733406472847,1823
BertAll_Exp_MLM_KL_IPA (ep10),55500,E2EN-Alignment,Unseen,Demotic-English,0.5764936484601757,0.5941422594142259,478
BertAll_Exp_MLM_KL_IPA (ep10),55500,E2EN-Alignment,Seen,Sahidic-English,0.7352652982646377,0.7355915065722952,1978
BertAll_Exp_MLM_KL_IPA (ep10),55500,E2EN-Alignment,Unseen,Sahidic-English,0.4749874881832843,0.4713896457765668,367
BertAll_Exp_MLM_KL_IPA (ep10),55500,E2EN-Alignment,Seen,Bohairic-English,0.7062955475155119,0.7020075282308658,1594
BertAll_Exp_MLM_KL_IPA (ep10),55500,E2EN-Alignment,Unseen,Bohairic-English,0.5468752015478878,0.5542857142857143,350
