model_name,checkpoint,evaluation_group,form_type,language_pair,auc_roc,triplet_accuracy,valid_pairs
BertAll_Exp_MLM_Translation (ep10),55500,E2EN-Alignment,Seen,Hieroglyphic-English,0.6877022787681399,0.6891109180422821,6906
BertAll_Exp_MLM_Translation (ep10),55500,E2EN-Alignment,Unseen,Hieroglyphic-English,0.6403993134844418,0.6336088154269972,1815
BertAll_Exp_MLM_Translation (ep10),55500,E2EN-Alignment,Seen,Demotic-English,0.6714915812520587,0.6695890410958905,1825
BertAll_Exp_MLM_Translation (ep10),55500,E2EN-Alignment,Unseen,Demotic-English,0.6230734059356555,0.6173913043478261,460
BertAll_Exp_MLM_Translation (ep10),55500,E2EN-Alignment,Seen,Sahidic-English,0.5863998025803582,0.5972222222222222,1944
BertAll_Exp_MLM_Translation (ep10),55500,E2EN-Alignment,Unseen,Sahidic-English,0.5462084799588018,0.56282722513089,382
BertAll_Exp_MLM_Translation (ep10),55500,E2EN-Alignment,Seen,Bohairic-English,0.5687053439647568,0.5483668341708543,1592
BertAll_Exp_MLM_Translation (ep10),55500,E2EN-Alignment,Unseen,Bohairic-English,0.5361318270201088,0.514367816091954,348
BertAll_Exp_MLM_TLM_Translation (ep10),55500,Cross-Branches,Heterograph,Bohairic-Demotic,0.6525678194243115,0.6439393939393939,396
BertAll_Exp_MLM_TLM_Translation (ep10),55500,Cross-Branches,Heterograph,Bohairic-Hieroglyphic,0.6628816160610586,0.6632653061224489,294
BertAll_Exp_MLM_TLM_Translation (ep10),55500,Cross-Branches,Heterograph,Demotic-Sahidic,0.5515989197399427,0.5324858757062146,708
BertAll_Exp_MLM_TLM_Translation (ep10),55500,Cross-Branches,Heterograph,Hieroglyphic-Sahidic,0.5600452476178189,0.546583850931677,644
BertAll_Exp_MLM_TLM_Translation (ep10),55500,Within-Branches,Heterograph,Bohairic-Sahidic,0.7348875022697634,0.7515723270440252,318
BertAll_Exp_MLM_TLM_Translation (ep10),55500,Within-Branches,Heterograph,Demotic-Hieroglyphic,0.5993793688559361,0.6226415094339622,318
BertAll_Exp_MLM_TLM_Translation (ep10),55500,Within-Branches,Homograph,Bohairic-Sahidic,1.0,1.0,82
BertAll_Exp_MLM_TLM_Translation (ep10),55500,Within-Branches,Homograph,Demotic-Hieroglyphic,0.9980992447665873,1.0,181
BertAll_Exp_MLM_TLM_Translation (ep10),55500,E2EN-Alignment,Seen,Hieroglyphic-English,0.6777489704521731,0.678831055539401,6878
BertAll_Exp_MLM_TLM_Translation (ep10),55500,E2EN-Alignment,Unseen,Hieroglyphic-English,0.6160748297555385,0.6167023554603854,1868
BertAll_Exp_MLM_TLM_Translation (ep10),55500,E2EN-Alignment,Seen,Demotic-English,0.6661605826236119,0.6657334826427772,1786
BertAll_Exp_MLM_TLM_Translation (ep10),55500,E2EN-Alignment,Unseen,Demotic-English,0.6147953875328326,0.6036960985626283,487
BertAll_Exp_MLM_TLM_Translation (ep10),55500,E2EN-Alignment,Seen,Sahidic-English,0.5676154565971266,0.5717922606924644,1964
BertAll_Exp_MLM_TLM_Translation (ep10),55500,E2EN-Alignment,Unseen,Sahidic-English,0.5234184394127467,0.5326370757180157,383
BertAll_Exp_MLM_TLM_Translation (ep10),55500,E2EN-Alignment,Seen,Bohairic-English,0.5451120443313944,0.5480649188514357,1602
BertAll_Exp_MLM_TLM_Translation (ep10),55500,E2EN-Alignment,Unseen,Bohairic-English,0.5009602228453274,0.5186246418338109,349
BertAll_Exp1_MLM_TLM_Translation_POS (ep10),55500,Cross-Branches,Heterograph,Bohairic-Demotic,0.6257880628609558,0.5984848484848485,396
BertAll_Exp1_MLM_TLM_Translation_POS (ep10),55500,Cross-Branches,Heterograph,Bohairic-Hieroglyphic,0.6503339140534262,0.6530612244897959,294
BertAll_Exp1_MLM_TLM_Translation_POS (ep10),55500,Cross-Branches,Heterograph,Demotic-Sahidic,0.5569310180847742,0.5536723163841808,708
BertAll_Exp1_MLM_TLM_Translation_POS (ep10),55500,Cross-Branches,Heterograph,Hieroglyphic-Sahidic,0.5386194408094808,0.5559006211180124,644
BertAll_Exp1_MLM_TLM_Translation_POS (ep10),55500,Within-Branches,Heterograph,Bohairic-Sahidic,0.7692888624770959,0.7767295597484277,318
BertAll_Exp1_MLM_TLM_Translation_POS (ep10),55500,Within-Branches,Heterograph,Demotic-Hieroglyphic,0.5910335860122835,0.5754716981132075,318
BertAll_Exp1_MLM_TLM_Translation_POS (ep10),55500,Within-Branches,Homograph,Bohairic-Sahidic,0.9913396960056557,1.0,82
BertAll_Exp1_MLM_TLM_Translation_POS (ep10),55500,Within-Branches,Homograph,Demotic-Hieroglyphic,0.9940443002686402,0.988950276243094,181
BertAll_Exp1_MLM_TLM_Translation_POS (ep10),55500,E2EN-Alignment,Seen,Hieroglyphic-English,0.5718958208271643,0.5726200747771067,6954
BertAll_Exp1_MLM_TLM_Translation_POS (ep10),55500,E2EN-Alignment,Unseen,Hieroglyphic-English,0.5133379835491388,0.5117294053464266,1833
BertAll_Exp1_MLM_TLM_Translation_POS (ep10),55500,E2EN-Alignment,Seen,Demotic-English,0.5743388576846866,0.5824053452115813,1796
